SOLAR RADIATION IN W/m2 (UNTERHACHING);;;
I_Gh;I_Dh;I_ex;hs
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
12.75;0;87;0
84.625;43.61224491;290;7.827448265
191.125;102.3837332;455;15.60422582
276.5;138.7684181;571;21.74002385
369.875;201.4508473;630;25.68951445
384.125;211.7954644;627;26.99972288
354.5;203.3899761;564;25.49772533
167.375;98.93984418;443;21.38072986
44.78125;32.7246761;274;15.11415617
10.890625;11.54734581;69;7.243632154
0.07522583;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
6.041015625;0;93;0
44.078125;24.70506411;296;8.082510486
105.78125;59.29759366;462;15.87972054
164.9375;86.97280396;578;22.03684767
214.125;119.6212996;637;26.00363963
232.375;131.225971;634;27.32172182
238.1875;139.3351536;570;25.81560598
256.875;144.0957698;450;21.68479076
171.5;114.1085985;281;15.39987242
52.234375;47.03021647;75;7.511296449
0.11630249;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
14.140625;0;99;0
99.84375;50.55857233;302;8.342897095
213.8125;112.7546217;468;16.16047183
321;156.7076406;584;22.33882192
396.25;214.0410828;643;26.32267284
429.5;233.9079425;641;27.64815211
370.875;211.2009016;577;26.13721205
314.125;170.0229323;457;21.99178586
208.125;134.2559352;288;15.68781973
73.0625;60.31623998;81;7.78067601
0.438476563;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
14.95703125;0;105;0
112.625;55.98483381;309;8.608516906
233;121.4173877;475;16.44638356
351.125;168.3997009;591;22.64584648
430.625;230.7015185;650;26.64651022
474.875;256.0496594;648;27.97890502
441.625;247.6453929;584;26.46242998
358;188.3294716;463;22.30160063
227.75;144.2761786;294;15.97788881
75.59375;61.59650767;88;8.051671796
0.673828125;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
